0,0,29,5,0,0,2,142,376,264,369,715,649,340,138,72,9,0,0,0
0,0,30,4,0,0,2,154,358,269,366,731,670,299,147,72,7,1,0,0
0,0,31,3,0,1,1,151,374,265,360,729,654,308,162,61,8,2,0,0
0,0,29,5,0,0,7,148,365,264,399,692,675,307,150,56,12,1,0,0
0,0,34,0,0,0,7,140,381,252,401,705,677,289,147,67,9,1,0,0
0,0,30,4,0,1,2,150,371,250,398,732,659,288,159,53,11,2,0,0
0,0,31,3,0,1,2,154,369,253,403,682,688,310,148,59,7,0,0,0
0,0,32,2,0,0,2,151,367,248,394,700,681,306,142,74,11,0,0,0
0,0,30,4,0,0,7,140,369,264,414,715,636,324,152,49,4,2,0,0
0,0,31,3,0,0,8,139,382,263,403,682,691,307,131,61,9,0,0,0
0,0,33,1,0,0,1,134,366,215,304,524,656,442,207,98,115,13,1,0
0,0,33,1,0,0,1,136,364,226,290,543,610,494,202,97,94,16,3,0
0,0,32,2,0,0,4,133,356,237,279,537,620,490,202,104,95,17,2,0
0,0,33,1,0,0,2,136,367,223,279,536,615,490,195,120,93,18,1,1
0,0,33,1,0,0,2,132,358,244,299,528,673,494,161,103,73,8,1,0
0,1,33,0,0,0,2,126,371,248,279,549,660,458,195,116,65,7,0,0
0,0,31,3,0,0,2,127,376,230,300,551,665,433,201,128,53,9,1,0
0,0,32,2,0,0,3,128,355,238,310,546,654,483,181,116,56,6,0,0
0,0,30,4,0,0,2,129,370,241,297,549,672,450,192,111,54,9,0,0
0,0,32,2,0,0,4,128,361,240,295,554,649,477,188,116,57,5,2,0
0,0,33,1,0,0,2,127,378,228,299,558,649,465,179,129,53,8,1,0
0,1,33,0,0,0,2,132,356,239,302,554,677,432,193,115,71,3,0,0
0,1,29,4,0,1,1,132,359,226,321,558,628,481,189,105,68,7,0,0
0,0,31,3,0,0,4,132,353,239,316,560,642,466,166,134,58,5,0,1
0,0,32,2,0,0,4,131,362,226,307,570,634,477,184,119,53,7,2,0
0,0,33,1,0,0,3,140,344,248,290,563,656,457,180,132,56,6,1,0
0,0,33,1,0,0,4,116,373,242,309,554,643,468,178,125,52,8,4,0
0,0,32,2,0,0,0,142,355,236,308,547,644,464,205,109,54,10,2,0
0,0,32,2,0,0,3,136,363,231,292,551,675,476,158,122,62,5,2,0
0,0,32,2,0,0,2,135,367,228,293,552,660,488,168,112,69,2,0,0
0,0,30,4,0,0,1,137,347,247,289,580,638,464,189,103,72,8,0,1
0,1,31,2,0,0,4,127,367,241,309,547,648,458,187,123,60,4,1,0
0,1,32,1,0,0,1,141,336,256,307,568,641,454,181,123,56,10,2,0
0,0,29,5,0,0,4,123,345,249,312,546,657,473,174,119,68,6,0,0
