0,0,0,0,0,0,0,0,0,1,3,4,6,9,7,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,18,20,44,61,49,76,84,71,69,66,49,42,44,51,53,74,61,67,65,98,124,140,125,134,145,153,124,120,129,135,102,72,59,41,40,35,39,16,27,27,29,30,16,11,16,4,3,3,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,2,8,11,11,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,12,7,29,37,50,72,82,73,69,68,49,53,54,41,53,64,65,62,70,66,97,111,125,141,143,146,146,143,112,111,129,98,76,65,49,42,28,29,30,36,25,23,30,19,18,7,6,5,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,1,1,8,11,9,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,4,11,26,39,55,65,81,73,82,65,60,40,44,43,52,63,60,62,64,74,94,129,133,119,147,146,129,128,125,142,124,93,84,62,57,43,41,34,28,21,31,36,20,15,10,6,4,1,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,2,11,15,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6,24,25,29,45,76,76,88,61,61,66,57,43,54,48,55,74,54,70,57,99,106,128,141,144,136,128,138,137,136,124,101,73,69,47,48,35,37,23,19,23,26,18,30,17,7,5,4,2,2,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,2,11,10,8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,17,29,42,43,66,76,79,75,58,61,62,35,50,50,65,60,60,66,90,101,117,140,122,140,142,133,140,131,124,124,91,73,66,60,38,34,34,22,17,23,25,28,30,12,6,5,4,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,5,5,12,10,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7,18,27,37,44,76,75,71,68,67,53,58,41,47,54,63,63,63,68,76,109,128,107,137,146,152,126,147,131,116,109,114,76,77,42,48,26,31,19,18,30,28,29,17,4,12,5,5,3,3,1,0,2,0,0,0,0,1,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,4,13,7,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,17,29,35,42,72,84,77,67,65,59,53,48,42,55,68,65,58,69,70,74,133,124,134,145,156,152,133,127,142,123,82,79,62,46,39,33,32,33,15,21,30,28,12,15,11,2,0,5,2,1,3,0,0,1,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,2,7,12,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,8,17,29,31,38,71,68,99,74,61,59,43,46,45,48,51,61,78,69,75,115,108,120,136,132,144,150,117,147,125,119,116,77,53,49,48,40,25,24,22,18,26,29,24,15,4,10,3,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,4,11,10,6,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10,16,28,43,35,50,60,98,83,72,58,51,41,53,53,52,60,59,62,89,93,109,142,129,135,140,142,156,133,119,115,94,82,64,46,51,29,40,32,25,31,25,20,24,5,8,5,3,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,4,9,10,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,8,17,24,41,39,64,71,80,75,64,69,52,50,41,55,55,61,59,67,84,96,128,129,134,133,146,139,142,119,138,94,109,80,59,55,38,38,30,33,23,26,27,25,25,7,7,3,4,2,2,1,2,0,1,0,0,0,1,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,2,11,11,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7,15,29,38,45,66,80,82,61,69,64,48,49,44,48,63,57,63,61,71,91,137,126,137,147,151,138,132,141,107,123,110,81,69,32,52,35,28,21,19,21,19,32,27,18,9,4,3,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,2,6,13,10,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,20,16,38,51,69,78,84,68,54,57,67,59,47,37,58,58,63,62,77,83,137,125,129,132,161,149,148,128,129,111,100,72,69,41,45,24,28,31,20,25,21,35,17,15,11,7,4,2,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,4,10,9,7,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,15,28,59,59,56,77,70,73,69,56,38,49,53,36,65,80,54,77,76,82,126,126,138,129,174,158,124,139,122,116,91,77,54,36,51,43,33,26,16,22,23,22,16,12,9,5,6,4,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,1,3,13,7,5,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,11,29,26,40,31,76,74,82,73,75,51,49,49,55,62,82,61,76,84,97,109,137,128,139,136,163,157,129,137,127,90,73,54,42,53,36,22,29,21,32,25,22,10,8,4,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,1,2,4,7,13,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,21,25,46,51,58,89,87,54,65,67,53,39,63,48,79,67,70,60,90,136,146,160,156,135,154,159,140,128,98,72,77,56,43,35,47,25,35,25,27,25,21,8,5,4,6,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,1,2,3,16,10,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,6,18,31,40,47,60,78,95,73,62,50,47,57,68,53,49,76,72,93,103,107,145,153,160,129,153,147,168,117,118,92,54,46,45,40,37,26,32,26,27,22,19,12,7,5,0,1,2,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
